Testcounter,URL,NAME,SI,PSI,DateTime,Category,Browserversion
1,https://www.youtube.com,youtube.com,967,1026,2017-11-29T16:35:11Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
2,https://www.youtube.com,youtube.com,1016,1097,2017-11-29T16:35:40Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
3,https://www.youtube.com,youtube.com,1024,1098,2017-11-29T16:36:11Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
4,https://www.youtube.com,youtube.com,1036,1116,2017-11-29T16:36:40Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
5,https://www.youtube.com,youtube.com,1017,1098,2017-11-29T16:37:11Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
6,https://www.youtube.com,youtube.com,1005,1079,2017-11-29T16:37:41Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
7,https://www.youtube.com,youtube.com,1087,1204,2017-11-29T16:38:11Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
8,https://www.youtube.com,youtube.com,1088,1223,2017-11-29T16:38:41Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
9,https://www.youtube.com,youtube.com,1107,1218,2017-11-29T16:39:13Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
10,https://www.youtube.com,youtube.com,1068,1169,2017-11-29T16:39:43Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
11,https://www.youtube.com,youtube.com,1111,1239,2017-11-29T16:40:14Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
12,https://www.youtube.com,youtube.com,3305,3296,2017-11-29T16:40:46Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
13,https://www.youtube.com,youtube.com,1079,1167,2017-11-29T16:41:20Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
14,https://www.youtube.com,youtube.com,1197,1277,2017-11-29T16:41:50Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
15,https://www.youtube.com,youtube.com,1013,1098,2017-11-29T16:42:21Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
16,https://www.youtube.com,youtube.com,1176,1231,2017-11-29T16:42:51Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
17,https://www.youtube.com,youtube.com,1003,1079,2017-11-29T16:43:22Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
18,https://www.youtube.com,youtube.com,1223,1277,2017-11-29T16:43:52Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
19,https://www.youtube.com,youtube.com,1028,1137,2017-11-29T16:44:22Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
20,https://www.youtube.com,youtube.com,1229,1431,2017-11-29T16:44:52Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
21,https://www.youtube.com,youtube.com,1065,1169,2017-11-29T16:45:25Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
22,https://www.youtube.com,youtube.com,1004,1068,2017-11-29T16:45:55Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
23,https://www.youtube.com,youtube.com,1063,1168,2017-11-29T16:46:25Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
24,https://www.youtube.com,youtube.com,1034,1132,2017-11-29T16:46:54Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
25,https://www.youtube.com,youtube.com,1011,1097,2017-11-29T16:47:24Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
26,https://www.youtube.com,youtube.com,1085,1204,2017-11-29T16:47:54Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
27,https://www.youtube.com,youtube.com,969,1047,2017-11-29T16:48:25Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
28,https://www.youtube.com,youtube.com,1011,1059,2017-11-29T16:48:55Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
29,https://www.youtube.com,youtube.com,1008,1079,2017-11-29T16:49:26Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
30,https://www.youtube.com,youtube.com,1008,1097,2017-11-29T16:49:55Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
31,https://www.youtube.com,youtube.com,1089,1219,2017-11-29T16:50:25Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
32,https://www.youtube.com,youtube.com,975,1046,2017-11-29T16:50:56Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
33,https://www.youtube.com,youtube.com,1111,1256,2017-11-29T16:51:27Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
34,https://www.youtube.com,youtube.com,1113,1238,2017-11-29T16:51:59Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
35,https://www.youtube.com,youtube.com,1190,1330,2017-11-29T16:52:30Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
36,https://www.youtube.com,youtube.com,1067,1146,2017-11-29T16:53:02Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
37,https://www.youtube.com,youtube.com,1019,1097,2017-11-29T16:53:32Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
38,https://www.youtube.com,youtube.com,1035,1095,2017-11-29T16:54:03Z,1,2.33.506120 (e3e53437346286c0bc2d2dc9aa4915ba81d9023f)
