Testcounter,URL,NAME,SI,PSI,DateTime,Category,Browserversion
1,https://www.youtube.com,youtube.com,1591,1657,2017-11-29T11:38:52Z,1,57.0
2,https://www.youtube.com,youtube.com,2173,2214,2017-11-29T11:39:31Z,1,57.0
3,https://www.youtube.com,youtube.com,1740,1807,2017-11-29T11:40:05Z,1,57.0
4,https://www.youtube.com,youtube.com,2334,2388,2017-11-29T11:40:38Z,1,57.0
5,https://www.youtube.com,youtube.com,1891,1936,2017-11-29T11:41:14Z,1,57.0
6,https://www.youtube.com,youtube.com,2317,2403,2017-11-29T11:41:48Z,1,57.0
7,https://www.youtube.com,youtube.com,1740,1808,2017-11-29T11:42:23Z,1,57.0
8,https://www.youtube.com,youtube.com,2171,2254,2017-11-29T11:42:57Z,1,57.0
9,https://www.youtube.com,youtube.com,1746,1829,2017-11-29T11:43:32Z,1,57.0
10,https://www.youtube.com,youtube.com,2423,2489,2017-11-29T11:44:08Z,1,57.0
11,https://www.youtube.com,youtube.com,2123,2166,2017-11-29T11:44:43Z,1,57.0
12,https://www.youtube.com,youtube.com,1738,1805,2017-11-29T11:45:17Z,1,57.0
13,https://www.youtube.com,youtube.com,2134,2192,2017-11-29T11:45:52Z,1,57.0
14,https://www.youtube.com,youtube.com,1987,2035,2017-11-29T11:46:27Z,1,57.0
15,https://www.youtube.com,youtube.com,1788,1877,2017-11-29T11:47:01Z,1,57.0
16,https://www.youtube.com,youtube.com,1739,1806,2017-11-29T11:47:35Z,1,57.0
17,https://www.youtube.com,youtube.com,2201,2243,2017-11-29T11:48:09Z,1,57.0
18,https://www.youtube.com,youtube.com,1938,2005,2017-11-29T11:48:43Z,1,57.0
19,https://www.youtube.com,youtube.com,2383,2440,2017-11-29T11:49:18Z,1,57.0
20,https://www.youtube.com,youtube.com,2219,2261,2017-11-29T11:49:53Z,1,57.0
21,https://www.youtube.com,youtube.com,2460,2493,2017-11-29T11:50:27Z,1,57.0
22,https://www.youtube.com,youtube.com,2318,2425,2017-11-29T11:51:01Z,1,57.0
23,https://www.youtube.com,youtube.com,2307,2402,2017-11-29T11:51:37Z,1,57.0
24,https://www.youtube.com,youtube.com,2324,2385,2017-11-29T11:52:12Z,1,57.0
25,https://www.youtube.com,youtube.com,2462,2492,2017-11-29T11:52:47Z,1,57.0
26,https://www.youtube.com,youtube.com,4632,4690,2017-11-29T11:53:22Z,1,57.0
27,https://www.youtube.com,youtube.com,1739,1806,2017-11-29T11:53:59Z,1,57.0
28,https://www.youtube.com,youtube.com,1738,1785,2017-11-29T11:54:34Z,1,57.0
29,https://www.youtube.com,youtube.com,1788,1856,2017-11-29T11:55:07Z,1,57.0
30,https://www.youtube.com,youtube.com,2161,2193,2017-11-29T11:55:41Z,1,57.0
31,https://www.youtube.com,youtube.com,1738,1807,2017-11-29T11:56:15Z,1,57.0
32,https://www.youtube.com,youtube.com,2319,2364,2017-11-29T11:56:49Z,1,57.0
33,https://www.youtube.com,youtube.com,1839,1885,2017-11-29T11:57:24Z,1,57.0
34,https://www.youtube.com,youtube.com,2047,2106,2017-11-29T11:57:58Z,1,57.0
